Vernaculaire,Scientifique,Coches
Etourneau roselin,Pastor roseus,449
Busard pâle,Circus macrourus,447
Mouette de Sabine,Xema sabini,438
Bécasseau tacheté,Calidris melanotos,438
Pic cendré,Picus canus,436
Érismature rousse,Oxyura jamaicensis (féral en Fr),436
Lusciniole à moustaches,Acrocephalus melanopogon,434
Fauvette orphée,Curruca hortensis,433
Sterne arctique,Sterna paradisaea,428
Gobemouche nain,Ficedula parva,415
Oie à bec court,Anser brachyrhynchus,411
Buse pattue,Buteo lagopus,409
Goéland à ailes blanches,Larus glaucoides,405
Lagopède alpin,Lagopus muta,396
Chevêchette d'Europe,Glaucidium passerinum,394
Gypaète barbu,Gypaetus barbatus,393
Tétras lyre,Lyrurus tetrix,393
Goéland bourgmestre,Larus hyperboreus,391
Goéland d'Audouin,Ichthyaetus audouinii,390
Faucon d'Eléonore,Falco eleonorae,386
Goéland à bec cerclé,Larus delawarensis,380
Hypolaïs ictérine,Hippolais icterina,377
Alouette haussecol,Eremophila alpestris,376
Moineau cisalpin,Passer italiae,370
Râle des genêts,Crex crex,369
Faisan vénéré,Syrmaticus reevesii (féral),367
Aigle criard,Clanga clanga,360
Pie-grièche à poitrine rose,Lanius minor,348
Bruant nain,Emberiza pusilla,346
Phragmite aquatique,Acrocephalus paludicola,346
Fuligule à tête noire,Aythya affinis,344
Pipit à gorge rousse,Anthus cervinus,340
Marouette poussin,Porzana parva,337
Pouillot brun,Phylloscopus fuscatus,337
Cochevis de Thékla,Galerida theklae,334
Vanneau sociable,Vanellus gregarius,331
Gélinotte des bois,Tetrastes bonasia,319
Aigle pomarin,Clanga pomarina,317
Puffin majeur,Ardenna gravis,313
Sterne de Dougall,Sterna dougallii,311
Chouette de Tengmalm,Aegolius  funereus,306
Jaseur boréal,Bombycilla garrulus,306
Chevalier à pattes jaunes,Tringa flavipes,306
Gobemouche à collier,Ficedula albicollis,305
Bécasseau falcinelle,Calidris falcinellus,302
Grèbe à bec bigarré,Podilymbus podiceps,300
Venturon corse,Carduelis corsicanus,297
Pluvier bronzé,Pluvialis dominica,296
Bécasseau rousset,Calidris subruficollis,291
Grand Tétras,Tetrao urogallus,290
Pouillot de Pallas,Phylloscopus proregulus,287
Bergeronnette citrine,Motacilla citreola,286
Océanite culblanc,Oceanodroma leucorhoa,285
Puffin cendré,Calonectris borealis,283
Sterne -de type- élégante,Thalasseus elegans,277
Pouillot ibérique,Phylloscopus ibericus,275
Chevalier bargette,Xenus cinereus,274
Cormoran pygmée,Microcarbo pygmaeus,268
Perdrix bartavelle,Alectoris graeca,265
Roselin cramoisi,Carpodacus erythrinus,262
Pouillot de Hume,Phylloscopus humei,261
Sittelle corse,Sitta whiteheadi,259
Fauvette sarde,Curruca sarda,254
Bécasseau de Bonaparte,Calidris fuscicollis,253
Labbe à longue queue,Stercorarius longicaudus,250
Chevalier grivelé,Actitis macularius,244
Léiothrix jaune,Leiothrix lutea (féral),242
Fauvette de Moltoni,Curruca subalpina,240
Fauvette épervière,Curruca nisoria,236
Guillemot à miroir,Cepphus grylle,235
Sarcelle à ailes vertes,Anas carolinensis,233
Pie-grièche isabelle,Lanius isabellinus,230
Linotte à bec jaune,Linaria flavirostris,228
Pic tridactyle,Picoides tridactylus,219
Sizerin flammé boréal,Acanthis flammea,215
Traquet du désert,Oenanthe deserti,213
Pluvier fauve,Pluvialis fulva,211
Pic à dos blanc,Dendrocopos leucotos,208
Pipit à dos olive,Anthus hodgsoni,207
Buse féroce,Buteo rufinus,207
Eider à tête grise,Somateria spectabilis,194
Bruant mélanocéphale,Emberiza melanocephala,194
Macreuse à front blanc,Melanitta perspicillata,193
Pic de Sharpe,Picus sharpei,192
Traquet isabelle,Oenanthe isabellina,191
Capucin bec-de-plomb,Euodice malabarica (féral),190
Canard à front blanc,Mareca americana,190
Mergule nain,Alle alle,189
Gobemouche tyrrhénien,Muscicapa tyrrhenica,186
Bernache à cou roux,Branta ruficollis,182
Pélican blanc,Pelecanus onocrotalus,180
Pipit de Godlewski,Anthus godlewskii,177
Flamant nain,Phoenicopterus minor,176
Pouillot de Schwarz,Phylloscopus schwarzi,174
Robin à flancs roux,Tarsiger cyanurus,173
Harfang des neiges,Bubo scandiacus,168
Tarier de Sibérie,Saxicola maurus,168
Bartramie des champs,Bartramia longicauda,168
Mouette de Bonaparte,Chroicocephalus philadelphia,163
Marouette de Baillon,Porzana pusilla,161
Plongeon à bec blanc,Gavia adamsii,157
Bergeronnette orientale,Motacilla tschutschensis,156
Bécasseau de Baird,Calidris bairdii,153
Bécassin à long bec,Limnodromus scolopaceus,150
Courvite isabelle,Cursorius cursor,142
Viréo à œil rouge,Vireo olivaceus,137
Bruant à calotte blanche,Emberiza leucocephalos,136
Mouette de Ross,Rhodostethia rosea,135
Traquet pie,Oenanthe pleschanka,134
Pie-grièche brune,Lanius cristatus,133
Bécasseau semipalmé,Calidris pusilla,133
Bécasseau à queue pointue,Calidris acuminata,131
Phalarope de Wilson,Phalaropus tricolor,131
Aigrette des récifs,Egretta gularis,131
Grive dorée,Zoothera dauma,130
Bécassine double,Gallinago media,128
Sterne de Forster,Sterna forsteri,127
Érismature à tête blanche,Oxyura leucocephala,127
Sarcelle à ailes bleues,Spatula discors,126
Gravelot de Leschenault,Charadrius leschenaultii,126
Mouette de Franklin,Leucophaeus pipixcan,123
Bécasseau à échasses,Calidris himantopus,117
Bruant rustique,Emberiza rustica,117
Rousserolle des buissons,Acrocephalus dumetorum,116
Martinet cafre,Apus caffer,114
Bec-croisé perroquet,Loxia pytyopsittacus,113
Roselin githagine,Bucanetes githagineus,106
Aigle impérial,Aquila heliaca,106
Glaréole à ailes noires,Glareola nordmanni,102
Sterne voyageuse,Thalasseus bengalensis,99
Hypolaïs bottée,Induna caligata,98
Vanneau à queue blanche,Vanellus leucurus,98
Bruant à gorge blanche,Zonotrichia albicollis,97
Chevalier solitaire,Tringa solitaria,96
Océanite de Wilson,Oceanites oceanicus,94
Sarcelle marbrée,Marmaronetta angustirostris,92
Pluvier asiatique,Charadrius asiaticus,91
Mouette atricille,Leucophaeus atricilla,91
Grivette à dos olive,Catharus ustulatus,88
Bécasseau minuscule,Calidris minutilla,86
Moineau espagnol,Passer hispaniolensis,84
Fauvette de Rüppell,Curruca ruppeli,82
Bécasseau à longs doigts,Calidris subminuta,81
Rousserolle isabelle,Acrocephalus agricola,78
Mouette blanche,Pagophila eburnea,78
Goéland d'Amérique,Larus smithsonianus,76
Locustelle fluviatile,Locustella fluviatilis,75
Pouillot à pattes sombres,Phylloscopus plumbeitarsus,73
Ammomane élégante,Ammomanes cinctura,73
Pipit farlousane,Anthus rubescens,70
Fauvette naine,Curruca nana,68
Héron vert,Butorides virescens,67
Fauvette des Balkans,Curruca cantillans,66
Outarde barbue,Otis tarda,58
Oie naine,Anser erythropus,57
Bécasseau à cou roux,Calidris ruficollis,56
Pouillot boréal,Phylloscopus borealis,55
Pouillot oriental,Phylloscopus orientalis,54
Alouette pispolette,Alaudala rufescens,53
Marouette de Caroline,Porzana carolina,53
Colin de Californie,Callipepla californica (féral),52
Sterne royale (américaine),Thalasseus maxima,45
Traquet à tête blanche,Oenanthe leucopyga,44
Hirondelle à front blanc,Petrochelidon pyrrhonota,44
Bécasseau d'Alaska,Calidris mauri,44
Pipit de la Petchora,Anthus gustavi,43
Bécassin à bec court,Limnodromus griseus,43
Paruline noir et blanc,Mniotilta varia,43
Paruline couronnée,Seiurus aurocapilla,42
Paruline rayée,Setophaga striata,41
Grivette à joues grises,Catharus minimus,38
Bec-croisé bifascié,Loxia leucoptera,38
Sterne (royale) africaine,Thalasseus albididorsalis,37
Bruant roux,Emberiza rutila,37
Fou à pieds rouges,Sula sula,36
Gobemouche à demi-collier,Ficedula semitorquata,36
Puffin de Macaronésie,Puffinus baroli,35
Pouillot verdâtre,Phylloscopus trochiloides,34
Garrot albéole,Bucephala albeola,27
Tourterelle orientale,Streptopelia orientalis,26
Cardinal à poitrine rose,Pheucticus ludovicianus,24
Sterne bridée,Onychoprion anaethetus,22
Traquet rieur,Oenanthe leucura,21
Faucon gerfaut,Falco rusticolus,21
Martinet des maisons,Apus affinis,20
Goéland dominicain,Larus dominicanus,20
Sizerin blanchâtre,Acanthis hornemanni,19
Macreuse à bec jaune,Melanitta americana,18
Faucon sacre,Falco cherrug,18
Bruant masqué,Emberiza spodocephala,17
Engoulevent à collier roux,Caprimulgus ruficollis,16
Gravelot mongol,Charadrius mongolus,16
Hypolaïs pâle,Iduna pallida,15
Paruline à flancs marron,Setophaga pensylvanica,15
Oie (des moissons) de la taïga,Anser fabalis,14
Coulicou à bec jaune,Coccyzus americanus,13
Traquet kurde,Oenanthe xanthoprymna,12
Albatros à sourcils noirs,Thalassarche melanophris,12
Canard noir,Anas rubripes,12
Vautour de Rüppell,Gyps rueppellii,11
Agrobate roux,Cercotrichas galactotes,10
Paruline à collier,Setophaga americana,9
Puffin à bec grêle,Puffinus tenuirostris,8
Glaréole orientale,Glareola maldivarum,8
Tangara écarlate,Piranga olivacea,8
Gravelot pâtre,Charadrius pecuarius,8
Traquet noir et blanc,Oenanthe melanoleuca,7
Rossignol progné,Luscinia luscinia,6
Pétrel gongon,Pterodroma feae,6
Grive obscure,Turdus obscurus,6
Hypolaïs obscure,Iduna opaca,5
Chevalier semipalmé,Tringa semipalmata,5
Grive à gorge noire,Turdus atrogularis ,5
Engoulevent d'Amérique,Chordeiles minor,5
"Océanite ""de type"" Castro",Oceanodroma castro/jabejabe/monteroi,5
Pie-grièche du Turkestan,Lanius phoenicuroides,4
Grue demoiselle,Grus virgo,4
Locustelle lancéolée,Locustella lanceolata,4
Hypolaïs rama,Iduna rama,3
Goglu des prés,Dolichonyx oryzivorus,3
Guêpier de Perse,Merops persicus,3
Aigle ibérique,Aquila adalberti,3
Bruant auréole,Emberiza aureola,3
Grive de Sibérie,Geokichla sibirica,3
Accenteur à gorge noire,Prunella atrogularis,3
Pélican frisé,Pelecanus crispus,3
Sterne fuligineuse,Onychoprion fuscatus,3
Cormoran à aigrettes,Phalacrocorax auritus,3
Alouette monticole,Melanocorypha bimaculata,2
Aigle des steppes,Aquila nipalensis,2
Fauvette de l'Atlas,Curruca deserticola,2
Bruant à tête rousse,Emberiza bruniceps,2
Paruline des ruisseaux,Parkesia noveboracensis,2
Talève d'Allen,Porphyrio alleni,1
Frégate superbe,Fregata magnificens,1
Courlis hudsonien,Numenius hudsonicus,1
Grand Héron,Ardea herodias,1
Coulicou à bec noir,Coccyzus erythrophthalmus,1
Paruline à gorge orangée,Setophaga fusca,1
Goéland ichthyaète,Ichthyaetus ichthyaetus,1
Eider de Steller,Polysticta stelleri,1
Faucon lanier,Falco biarmicus,1
Gravelot semipalmé,Charadrius semipalmatus,1
Pouillot de Temminck,Phylloscopus coronatus,1
