Vernaculaire,Scientifique,Coches
Faucon gerfaut,Falco rusticolus,21
Traquet rieur,Oenanthe leucura,20
Goéland dominicain,Larus dominicanus,20
Macreuse à bec jaune,Melanitta americana,20
Faucon sacre,Falco cherrug,20
Sizerin blanchâtre,Acanthis hornemanni,19
Martinet des maisons,Apus affinis,18
Bruant masqué,Emberiza spodocephala,17
Gravelot mongol,Charadrius mongolus,16
Hypolaïs pâle,Iduna pallida,16
Engoulevent à collier roux,Caprimulgus ruficollis,16
Paruline à flancs marron,Setophaga pensylvanica,15
Oie (des moissons) de la taïga,Anser fabalis,13
Coulicou à bec jaune,Coccyzus americanus,13
Albatros à sourcils noirs,Thalassarche melanophris,13
Traquet kurde,Oenanthe xanthoprymna,12
Vautour de Rüppell,Gyps rueppellii,11
Agrobate roux,Cercotrichas galactotes,9
Paruline à collier,Setophaga americana,9
Gravelot pâtre,Charadrius pecuarius,8
Puffin à bec grêle,Puffinus tenuirostris,8
Tangara écarlate,Piranga olivacea,8
Aigle des steppes,Aquila nipalensis,8
Glaréole orientale,Glareola maldivarum,8
Canard noir,Anas rubripes,7
Rossignol progné,Luscinia luscinia,6
Grive obscure,Turdus obscurus,6
Pétrel gongon,Pterodroma feae,6
Engoulevent d'Amérique,Chordeiles minor,5
Grive à gorge noire,Turdus atrogularis,5
Hypolaïs obscure,Iduna opaca,5
Chevalier semipalmé,Tringa semipalmata,5
"Océanite ""de type"" Castro",Oceanodroma castro/jabejabe/monteroi,5
Aigle ibérique,Aquila adalberti,4
Cormoran à aigrettes,Phalacrocorax auritus,4
Grue demoiselle,Grus virgo,4
Locustelle lancéolée,Locustella lanceolata,4
Pie-grièche du Turkestan,Lanius phoenicuroides,4
Grive de Sibérie,Geokichla sibirica,3
Goglu des prés,Dolichonyx oryzivorus,3
Accenteur à gorge noire,Prunella atrogularis,3
Sterne fuligineuse,Onychoprion fuscatus,3
Bruant auréole,Emberiza aureola,3
Hypolaïs rama,Iduna rama,3
Guêpier de Perse,Merops persicus,3
Alouette monticole,Melanocorypha bimaculata,2
Fauvette de l'Atlas,Curruca deserticola,2
Paruline des ruisseaux,Parkesia noveboracensis,2
Goéland ichthyaète,Ichthyaetus ichthyaetus,1
Pélican frisé,Pelecanus crispus,1
Courlis hudsonien,Numenius hudsonicus,1
Bruant à tête rousse,Emberiza bruniceps,1
Grand Héron,Ardea herodias,1
Paruline à gorge orangée,Setophaga fusca,1
Pouillot de Temminck,Phylloscopus coronatus,1
Gravelot semipalmé,Charadrius semipalmatus,1
Talève d'Allen,Porphyrio alleni,1
Coulicou à bec noir,Coccyzus erythrophthalmus,1
Eider de Steller,Polysticta stelleri,1
