ID_ODF,MAILLE,ID_FAUNE_FRANCE
44882,E043N656,1017
44883,E043N657,1018
44884,E043N658,1019
44885,E043N659,1020
44886,E043N660,1021
44887,E043N661,1022
44888,E043N662,1023
44889,E043N663,1024
44890,E043N664,1025
44891,E043N665,1026
44892,E043N666,1027
44893,E043N667,1028
44894,E043N668,1029
44895,E043N669,1030
44896,E043N670,1031
44897,E043N671,1032
44898,E043N672,1033
44899,E043N673,1034
44900,E043N674,1035
44901,E043N675,1036
44902,E043N676,1037
44903,E043N677,1038
44904,E043N678,1039
44905,E043N679,1040
44906,E043N680,1041
44907,E043N681,1042
44908,E043N682,1043
44909,E043N683,1044
44910,E043N684,1045
44911,E043N685,1046
44912,E043N686,1047
44913,E043N687,1048
44914,E043N688,1049
44915,E043N689,1050
44916,E043N690,1051
44917,E043N691,1052
44918,E043N692,1053
44928,E044N618,1054
44929,E044N619,1055
44930,E044N620,1056
44931,E044N621,1057
44932,E044N622,1058
44933,E044N623,1059
44934,E044N624,1060
44935,E044N625,1061
44936,E044N626,1062
44937,E044N627,1063
44938,E044N628,1064
44939,E044N629,1065
44940,E044N630,1066
44941,E044N631,1067
44942,E044N632,1068
44943,E044N633,1069
44944,E044N634,1070
44945,E044N635,1071
44946,E044N636,1072
44947,E044N637,1073
44948,E044N638,1074
44949,E044N639,1075
44950,E044N640,1076
44951,E044N641,1077
44952,E044N642,1078
44953,E044N643,1079
44954,E044N644,1080
44955,E044N645,1081
44956,E044N646,1082
44957,E044N647,1083
44958,E044N648,1084
44959,E044N649,1085
44960,E044N650,1086
44961,E044N651,1087
44962,E044N652,1088
44963,E044N653,1089
44964,E044N654,1090
44965,E044N655,1091
44966,E044N656,1092
44967,E044N657,1093
44968,E044N658,1094
44969,E044N659,1095
44970,E044N660,1096
44971,E044N661,1097
44972,E044N662,1098
44973,E044N663,1099
44974,E044N664,1100
44975,E044N665,1101
44976,E044N666,1102
44977,E044N667,1103
44978,E044N668,1104
44979,E044N669,1105
44980,E044N670,1106
44981,E044N671,1107
44982,E044N672,1108
44983,E044N673,1109
44984,E044N674,1110
44985,E044N675,1111
44986,E044N676,1112
44987,E044N677,1113
44988,E044N678,1114
44989,E044N679,1115
44990,E044N680,1116
44991,E044N681,1117
44992,E044N682,1118
44993,E044N683,1119
44994,E044N684,1120
44995,E044N685,1121
44996,E044N686,1122
44997,E044N687,1123
44998,E044N688,1124
44999,E044N689,1125
45000,E044N690,1126
45001,E044N691,1127
45002,E044N692,1128
45011,E045N618,1129
45012,E045N619,1130
45013,E045N620,1131
45014,E045N621,1132
45015,E045N622,1133
45016,E045N623,1134
45017,E045N624,1135
45018,E045N625,1136
45019,E045N626,1137
45020,E045N627,1138
45021,E045N628,1139
45022,E045N629,1140
45023,E045N630,1141
45024,E045N631,1142
45025,E045N632,1143
45026,E045N633,1144
45027,E045N634,1145
45028,E045N635,1146
45029,E045N636,1147
45030,E045N637,1148
45031,E045N638,1149
45032,E045N639,1150
45033,E045N640,1151
45034,E045N641,1152
45035,E045N642,1153
45036,E045N643,1154
45037,E045N644,1155
45038,E045N645,1156
45039,E045N646,1157
45040,E045N647,1158
45041,E045N648,1159
45042,E045N649,1160
45043,E045N650,1161
45044,E045N651,1162
45045,E045N652,1163
45046,E045N653,1164
45047,E045N654,1165
45048,E045N655,1166
45049,E045N656,1167
45050,E045N657,1168
45051,E045N658,1169
45052,E045N659,1170
45053,E045N660,1171
45054,E045N661,1172
45055,E045N662,1173
45056,E045N663,1174
45057,E045N664,1175
45058,E045N665,1176
45059,E045N666,1177
45060,E045N667,1178
45061,E045N668,1179
45062,E045N669,1180
45063,E045N670,1181
45064,E045N671,1182
45065,E045N672,1183
45066,E045N673,1184
45067,E045N674,1185
45068,E045N675,1186
45069,E045N676,1187
45070,E045N677,1188
45071,E045N678,1189
45072,E045N679,1190
45073,E045N680,1191
45074,E045N681,1192
45075,E045N682,1193
45076,E045N683,1194
45077,E045N684,1195
45078,E045N685,1196
45079,E045N686,1197
45080,E045N687,1198
